cuadro,x_px,y_px
0,911.987,83.38
1,909.029,86.805
2,906.884,87.088
3,896.087,97.264
4,893.845,104.709
5,893.938,106.708
6,893.162,114.941
7,890.83,126.555
8,888.581,138.414
9,877.489,153.057
10,884.525,183.12
11,907.817,229.773
12,932.281,287.687
13,961.75,359.963
14,985.244,415.303
15,1005.979,459.3
16,1012.647,484.767
17,1008.407,507.521
18,998.787,510.21
19,984.099,513.809
20,971.003,505.857
21,958.196,505.174
22,958.897,519.006
23,953.394,529.475
24,941.429,526.465
25,930.495,536.372
26,931.196,544.248
27,918.369,552.363
28,905.163,568.988
29,898.708,575.061
30,888.315,592.485
31,886.049,599.98
32,873.67,611.529
33,862.556,638.665
34,860.036,637.172
35,860.035,635.589
