cuadro,x_px,y_px
0,622.071,523.337
1,638.819,531.543
2,656.757,534.451
3,668.547,535.985
4,682.386,543.476
5,699.526,554.014
6,708.662,556.217
7,729.901,562.754
8,760.352,574.684
9,814.413,550.954
10,837.003,555.497
11,863.662,517.488
12,913.51,386.792
13,927.903,387.622
14,908.181,395.951
15,885.817,414.985
16,884.339,427.84
17,889.602,451.917
18,897.351,484.369
19,895.482,495.303
20,892.168,499.911
21,874.234,506.12
22,890.507,562.004
23,853.205,625.052
24,811.535,640.772
25,805.019,642.558
26,780.308,636.863
27,751.487,629.946
28,715.618,627.304
29,688.843,615.973
30,664.136,607.429
31,666.617,609.443
32,664.716,614.582
33,664.407,607.676
