cuadro,x_px,y_px
0,844.314,271.508
1,845.581,276.213
2,854.954,300.579
3,864.526,328.494
4,882.844,370.65
5,895.984,403.683
6,909.489,442.226
7,919.951,473.754
8,922.667,492.527
9,920.563,507.277
10,913.274,517.246
11,903.731,522.774
12,901.553,541.512
13,895.288,556.322
14,892.755,576.65
15,881.446,584.073
16,879.028,601.718
17,865.523,610.269
18,856.988,622.799
19,849.308,638.928
20,841.216,658.358
21,830.059,673.228
22,817.892,685.733
23,804.089,696.532
24,788.528,713.206
25,783.842,732.331
26,775.986,752.366
27,768.406,766.519
