cuadro,x_px,y_px
0,868.805,425.078
1,871.461,418.521
2,863.605,418.206
3,855.328,377.957
4,836.689,337.114
5,817.792,277.465
6,813.386,267.099
7,820.993,281.217
8,840.607,317.465
9,865.051,366.002
10,884.685,401.74
11,906.399,448.575
12,929.213,493.326
13,941.831,526.062
14,959.804,565.752
15,965.74,589.166
16,961.02,602.254
17,949.83,606.867
18,942.966,620.813
19,937.561,635.31
20,927.115,643.756
21,920.075,656.61
22,909.275,670.766
23,906.733,688.483
24,893.237,690.734
25,886.956,689.369
26,874.704,679.921
27,847.426,651.034
28,841.698,654.03
29,840.72,655.665
30,837.202,662.932
31,833.213,654.64
