cuadro,x_px,y_px
0,676.353,549.092
1,676.441,556.102
2,684.677,561.785
3,703.554,553.211
4,769.754,526.593
5,742.0,480.205
6,731.308,410.588
7,731.548,413.925
8,703.579,362.733
9,722.547,357.354
10,723.2,380.401
11,726.013,397.818
12,729.501,426.248
13,732.345,457.901
14,741.625,492.646
15,789.137,554.669
16,780.629,596.819
17,790.653,638.603
18,778.622,656.709
19,788.996,675.96
20,737.857,672.432
21,709.726,652.0
22,709.764,641.449
23,708.258,622.093
24,707.97,619.223
25,710.214,598.655
26,708.455,578.058
27,703.774,569.707
