cuadro,x_px,y_px
0,630.37,570.79
1,622.91,579.533
2,595.025,587.848
3,579.468,590.427
4,580.87,590.045
5,580.961,595.2
6,590.59,587.039
7,603.685,578.695
8,637.305,581.352
9,664.129,576.209
10,672.621,549.557
11,672.831,526.991
12,698.508,499.815
13,701.826,495.853
14,716.449,509.206
15,736.211,519.756
16,761.102,535.474
17,762.276,550.007
18,749.805,556.823
19,737.468,569.253
20,714.125,582.242
21,708.26,590.801
22,709.011,587.3
23,700.511,588.932
24,696.765,586.326
25,692.795,584.769
26,695.721,578.509
27,693.965,575.77
