t,s1,s2
2.06,-1.7640719492986288,-12.090145409238321
2.08,-2.657961623887691,-15.161191021348767
2.1,-3.2467416834313125,-18.823605533409587
2.12,-4.4222673751714074,-22.24741479962062
2.14,-5.593580153733866,-25.82626489827087
2.16,-7.0868436132060175,-29.555232670287214
2.18,-8.542707697142594,-33.59235372917989
2.2,-10.381347779677265,-37.298051756149256
2.22,-12.459085573313226,-40.79508398486196
2.24,-14.24076181328618,-44.27851183721292
2.26,-16.37858851270436,-48.21904727607413
2.28,-18.88494147886779,-51.769608141209375
2.3,-21.01797458231208,-55.097437555293595
2.32,-23.639425384029497,-57.813117402295646
2.34,-25.875582243205045,-61.11144800672972
2.36,-27.850453950363168,-63.89524597514329
2.38,-29.813544298950983,-66.34164757493276
2.4,-31.526492801606626,-69.0332881899458
2.42,-32.82974529402572,-72.17052973172889
2.44,-33.64204401248386,-76.47333104316031
2.46,-34.70108459588008,-80.8427415758042
2.48,-36.16663346418791,-84.97545424876132
2.5,-38.45881084984313,-88.31704755947041
2.52,-40.97565580597821,-91.7902058401714
2.54,-43.874862564767405,-94.6083844222913
2.56,-46.36946555673122,-97.23211954953646
2.58,-49.074517811303664,-99.8957860386222
2.6,-51.781700118828994,-102.7311204849366
2.62,-54.30641570228984,-105.7846749510026
2.64,-57.23641318869095,-109.52363603806688
2.66,-59.60082073081176,-113.48310306733843
2.68,-62.617653720305945,-117.11675169336016
2.7,-65.50887483808107,-120.8791872921272
2.72,-68.77431512130411,-123.76184661503252
2.74,-72.10870356722094,-126.47974575378164
2.76,-75.45691015130998,-129.36506416847567
2.78,-78.51575912759878,-132.15805882738363
2.8,-81.78543116481683,-134.25485207131646
2.82,-85.01641673292174,-136.65750811050387
2.84,-87.65029308046411,-138.81766291983135
2.86,-90.88233634103915,-140.56815667813663
2.88,-94.10490099119677,-142.80315671137004
2.9,-97.3366656116444,-144.2038108299548
2.92,-100.90229394118133,-146.0660199005074
2.94,-103.60389080632405,-148.1500761418955
2.96,-106.65824721271724,-151.10304993856963
2.98,-108.79034458320947,-153.78991381224986
3.0,-111.67141578372792,-156.21304245357555
3.02,-114.82967115358532,-158.41388831510824
3.04,-118.50276666630585,-159.6529731768881
3.06,-122.58161766816116,-160.44547754891772
3.08,-126.80949611838172,-160.32221028498827
3.1,-131.38741574609924,-159.6529731768881
3.12,-135.95259034565004,-158.5500121090213
3.14,-139.90049442670832,-157.87527134459955
3.16,-143.01314356290038,-157.8194558848186
3.18,-145.52834182654152,-158.81371872265856
3.2,-147.63799938333383,-160.3413184512117
3.22,-149.5980890496301,-162.7528489104588
3.24,-150.9088291816926,-165.18931513655852
3.26,-152.22191275396187,-168.17050855965283
3.28,-153.14253505381092,-170.5177366145936
3.3,-154.19175032942402,-173.07717272432524
3.32,-155.1177243563263,-175.55566592072202
3.34,-156.16144921458368,-177.64517701021572
3.36,-157.08483304160188,-179.79197499284066
3.38,-158.01466601764457,-181.51661776885575
3.4,-159.04902249926636,-182.6709359376383
3.42,-160.52817448907066,-183.0753044187581
3.44,-162.10870356722094,-183.07444967129075
3.46,-163.96417094175553,-182.41154988889167
3.48,-166.09653618422712,-181.54666100155765
3.5,-168.16760946399796,-179.77449108210865
3.52,-170.24486030685574,-179.08068189110452
3.54,-172.32752141655672,-178.12306551971176
3.56,-174.40625599835565,-177.11193711720415
3.58,-175.87357337883148,-176.57708627404392
3.6,-177.06563535713443,-176.34106965519908
3.62,-177.94476064029263,-176.7342807351466
3.64,-178.2393843522867,-177.7553636475727
3.66,-178.53202868872356,-178.81196915512282
3.68,-178.53202868872356,-179.77449108210865
3.7,-178.53202868872356,-181.49306969465292
3.72,-178.82678233516927,-182.06033851700704
3.74,-179.11954379768412,-182.54824410101196
3.76,-179.4143650297627,-182.69584661450563
3.78,-180.0,-182.80763068443412
3.8,-180.29482123207865,-182.40928338393235
3.82,-180.58959032508605,-182.41747299772783
3.84,-180.88233634103915,-182.45106944235272
3.86,-181.174980677476,-182.41747299772783
3.88,-181.174980677476,-182.5605822685066
3.9,-180.88233634103915,-182.41747299772783
3.92,-180.88233634103915,-182.43860506683615
3.94,-180.58959032508605,-182.20225418012336
3.96,-180.58959032508605,-182.2077548752223
3.98,-180.29482123207865,-182.20225418012336
4.0,-180.29482123207865,-182.69584661450563
4.02,-180.29482123207865,-182.41747299772783
4.04,-179.60823742154935,-182.20225418012336
4.06,-179.60823742154935,-182.20225418012336
4.08,-179.60823742154935,-182.2997557323136
4.1,-179.60823742154935,-182.20225418012336
4.12,-180.29482123207865,-182.20225418012336
4.14,-180.29482123207865,-182.20225418012336
4.16,-180.29482123207865,-182.05773940319995
4.18,-180.29482123207865,-181.92112445105732
4.2,-179.60823742154935,-181.92112445105732
4.22,-179.60823742154935,-182.05526539044143
4.24,-179.60823742154935,-181.92112445105732
4.26,-180.0,-181.92112445105732
4.28,-180.0,-181.92112445105732
4.3,-179.70718251488137,-181.92112445105732
4.32,-179.70718251488137,-181.77424535172767
4.34,-179.70718251488137,-181.77424535172767
4.36,-179.70718251488137,-181.92112445105732
4.38,-179.70718251488137,-181.92112445105732
4.4,-179.70718251488137,-181.92112445105732
4.42,-179.70718251488137,-181.77424535172767
4.44,-179.70718251488137,-182.0621991858926
4.46,-179.70718251488137,-181.92112445105732
4.48,-180.0,-182.2997557323136
4.5,-179.60823742154935,-182.20967106121944
4.52,-179.60823742154935,-182.06033851700704
4.54,-179.60823742154935,-182.2997557323136
4.56,-180.29482123207865,-182.20225418012336
4.58,-180.29482123207865,-182.20967106121944
4.6000000000000005,-180.29482123207865,-182.58599434554145
4.62,-180.29482123207865,-182.69584661450563
4.64,-180.29482123207865,-182.5198425909309
4.66,-180.29482123207865,-182.69584661450563
4.68,-180.5875826945934,-182.71060756059947
4.7,-180.58959032508605,-182.6589181250719
4.72,-180.58959032508605,-182.56364252640793
4.74,-180.58959032508605,-182.7940456716176
4.76,-180.88233634103915,-182.80763068443412
4.78,-180.88233634103915,-182.80763068443412
4.8,-180.88233634103915,-182.54824410101196
4.82,-180.88233634103915,-182.40928338393235
4.84,-180.88233634103915,-182.31189863363605
4.86,-180.88233634103915,-182.06033851700704
4.88,-180.88233634103915,-181.92112445105732
4.9,-180.88233634103915,-181.78391240160812
4.92,-180.58959032508605,-181.77424535172767
4.94,-180.58959032508605,-181.92112445105732
4.96,-180.5875826945934,-182.02959265641204
4.98,-180.5875826945934,-182.02959265641204
5.0,-180.5875826945934,-182.31927744471773
5.02,-180.5875826945934,-182.71060756059947
5.04,-180.5875826945934,-183.168882727207
5.06,-180.5875826945934,-183.4448204805428
5.08,-180.5875826945934,-183.9771824082632
5.1000000000000005,-180.5875826945934,-184.8763215860164
5.12,-180.5875826945934,-185.70456745590917
5.14,-180.29482123207865,-186.99851221683429
5.16,-180.29482123207865,-188.32596629695368
5.18,-179.60823742154935,-190.633507878142
5.2,-179.70718251488137,-193.04651992117957
5.22,-179.4143650297627,-195.74407928189572
5.24,-179.11954379768412,-199.65661290309072
5.26,-178.2393843522867,-204.78897106272763
5.28,-177.35786279328815,-210.78133592930567
5.3,-176.1856677847958,-217.8371574469752
5.32,-174.9924279961764,-226.7917400346568
5.34,-173.82119468185311,-236.82175574364007
5.36,-172.65438926035708,-248.5915178325012
5.38,-171.74242830895238,-262.4507465554656
5.4,-171.45229128737722,-278.12997052981206
5.42,-172.03463764832475,-296.15811558387725
5.44,-174.11367658199262,-316.8748913280878
5.46,-177.65029308046408,-341.03506083307605
5.48,-182.05650223647447,-367.38860561768627
5.5,-185.88514008832456,-392.93291138451326
5.52,-188.58784166540156,-415.57340239599256
5.54,-190.0381104335561,-434.79267524866566
5.56,-190.0381104335561,-451.6295744159759
5.58,-189.74920615041083,-466.0474593248684
5.6000000000000005,-188.878752644452,-478.4974594056409
5.62,-187.67193672081035,-489.39256360550206
5.64,-186.79578185984437,-498.1833854225266
5.66,-186.17700250005447,-505.67239147472793
5.68,-185.8836094090433,-511.55973295112966
5.7,-185.88514008832456,-516.0038886597057
5.72,-186.17700250005447,-519.0768440452881
5.74,-187.086843613206,-521.0779240809094
5.76,-188.25150586419855,-521.3513568915916
5.78,-189.74920615041083,-520.6616933471697
5.8,-191.82151155501873,-518.6656997472681
5.82,-194.31540247187272,-515.5555075538937
5.84,-197.67661860561384,-510.50493153995967
5.86,-201.39969901211813,-504.59486720938384
5.88,-205.6143143891705,-497.1385346330957
5.9,-210.21698054950923,-488.4790499863674
5.92,-215.51834643752255,-478.54886006620507
5.94,-221.16926375361655,-468.42010499490976
5.96,-227.4141970945008,-456.7334344630975
5.98,-233.9632343815644,-444.9467532906483
6.0,-241.82563591547847,-433.1961493678821
6.02,-250.8067340822196,-421.25394885599786
6.04,-261.45229128737725,-409.4425073568328
6.06,-273.5616745638794,-396.6143027201945
6.08,-287.396474720197,-380.230534831864
6.1000000000000005,-303.9713560980189,-356.6568244539343
6.12,-325.85270884271654,-321.30879386875887
6.140000000000001,-347.24224967281634,-287.7243898605749
6.16,-366.17745130166617,-268.1560690209949
6.18,-384.1752017274716,-258.88254008468454
6.2,-402.6320836685976,-260.12082782065426
6.22,-421.3076141784052,-269.4019926993324
6.24,-439.42939231168697,-284.4590895732269
6.26,-456.17700250005447,-303.6897317888639
6.28,-471.2911517566509,-325.8621477468829
6.3,-484.29079897675433,-348.4690390047966
6.32,-494.7051767815164,-371.80594598738475
6.34,-502.19247986856647,-393.7603591901969
6.36,-507.0784840833829,-414.1886329438297
6.38,-509.59808904963006,-433.78810244936784
6.4,-510.25179338040107,-451.51116922796155
6.42,-509.19738448025333,-468.7338344845377
6.44,-506.58461973573696,-485.9366990031461
6.46,-502.8377670390421,-503.294222547497
6.48,-498.02297803473743,-520.8099616927224
6.5,-492.84462342776794,-538.18313764534
6.52,-487.2218851611963,-555.0430437162519
6.54,-481.52558806852096,-572.380973815841
6.56,-475.4852218097537,-589.1428247965462
6.58,-469.4386013863441,-606.5294549214374
6.6000000000000005,-462.39380347728166,-624.079166526019
6.62,-454.6886201851137,-642.0888528138685
6.640000000000001,-445.3094640385659,-660.0419240718662
6.66,-433.68025534546456,-678.4907908397536
6.68,-419.59808904963006,-700.8099616927224
6.7,-401.1692637536166,-732.571276065081
6.72,-378.5121803709173,-773.2700487910794
6.74,-359.11954379768406,-802.4741091053198
6.76,-342.38710010569366,-820.8119249629336
6.78,-325.60807489467527,-830.4047950536851
6.8,-309.2467760661771,-833.3127394525926
6.82,-293.3718104908649,-833.4754324875214
6.84,-278.58784166540164,-833.6979425780964
6.86,-266.16762334633137,-836.8117609963568
6.88,-255.45691015131,-842.5251054223049
6.9,-246.4320658582959,-850.0903500657166
6.92,-238.793462480926,-858.1025583697248
6.94,-232.01342996414184,-867.0963825544547
6.96,-226.1648015640685,-875.6548478628033
6.98,-221.5855526550124,-883.4040739980325
7.0,-217.40093506562084,-890.8213372868657
7.02,-214.45768998237173,-896.5397623598561
7.04,-212.74386539927568,-901.2309327332413
7.06,-211.93099069507383,-904.4793899905219
7.08,-211.93099069507383,-906.3485745181055
7.1000000000000005,-212.98934821157223,-907.1518856886736
7.12,-215.51834643752255,-906.7444301585128
7.140000000000001,-218.8721898153758,-905.2875187040135
7.16,-223.24956346569417,-902.6722544234941
7.18,-228.65902118444535,-898.9361590630169
7.2,-235.36466061322625,-895.3956544882262
7.219999999999998,-243.1425350538109,-891.7021966533679
7.24,-252.38824408336663,-888.9013958657916
7.259999999999998,-262.61858316991834,-888.237164033121
7.28,-274.7419713541348,-890.8593812570668
7.3,-288.32998834552427,-898.0269642568151
7.32,-303.314650829216,-911.1330543319168
7.34,-319.0728373272478,-931.8105377878878
7.36,-334.191750329424,-959.4125460559674
7.38,-346.66764295567606,-993.8346198307152
7.4,-353.53075562071933,-1036.1393599488767
7.42,-355.28597063399894,-1086.2710170926412
7.44,-359.11954379768406,-1133.4888223346604
7.46,-369.1695047229069,-1171.6029227079537
7.48,-383.2529158151791,-1202.459879598298
7.5,-399.5138706030544,-1225.828617613808
7.52,-415.7734223484829,-1240.4147208670838
7.54,-430.6240204465532,-1247.2632422961235
7.56,-443.8510680322103,-1247.9239411691933
7.58,-455.5632969975524,-1244.1632910058015
7.6,-466.3785885127043,-1237.274329139166
7.62,-476.27223369195934,-1228.3864371097347
7.64,-484.9383632476557,-1218.4221601459656
7.66,-492.63208366859766,-1207.9586584746583
7.679999999999999,-499.07222764026096,-1198.0308257639642
7.7,-504.3057554973286,-1188.2641122037835
7.719999999999998,-508.54157001258176,-1178.5680424316329
7.74,-511.5655812826196,-1168.0525431000497
7.759999999999998,-513.9263336607123,-1156.465248742869
7.78,-514.5846938761774,-1142.9572898049396
7.8,-514.1933120873471,-1127.849793101807
7.82,-511.96285990466794,-1110.326054770003
7.84,-507.8860947384524,-1090.2729273356413
7.86,-501.1383417061471,-1067.6914231383175
7.88,-492.2176295928821,-1043.4128800690498
7.9,-481.77278275279207,-1017.8788598360908
7.92,-469.9867248596085,-992.1098555897677
7.94,-457.3405131021127,-966.4503073345705
7.96,-445.01641673292175,-939.4183109427536
7.98,-432.7561178170455,-911.3665619468637
8.0,-421.3076141784052,-880.5281044026996
8.019999999999998,-412.60102619763853,-847.1252436369059
8.040000000000001,-407.1987298131742,-808.96401323909
8.06,-405.7428540579658,-764.422760671807
8.08,-403.04690014589846,-720.3680819499493
8.099999999999998,-394.29079897675433,-683.7855517852532
8.120000000000001,-380.46961222511993,-655.3063179134417
8.14,-363.834774217393,-635.43418997078
8.16,-345.7431809318402,-625.8971297643598
8.179999999999998,-327.7334665804105,-627.1843106267918
8.199999999999998,-309.8909362508242,-638.7032256698744
8.22,-290.8481546529014,-657.7763373128453
8.24,-274.15028156994794,-675.0
8.259999999999998,-259.9549255864784,-685.5554710487081
8.279999999999998,-248.01466601764457,-691.6409833523724
8.3,-237.73257978520908,-695.8076384344621
8.32,-228.88180543587816,-698.4212866364692
8.34,-220.75534384531733,-700.2344792865598
8.359999999999998,-214.04970441653649,-702.5270378991526
8.38,-208.246619804563,-705.1149968397813
8.4,-203.25291581517905,-709.0182130021481
8.42,-199.1631887872049,-714.1440135975078
8.439999999999998,-195.8145849946672,-720.0
8.46,-193.3864569705677,-727.4655980484787
8.48,-190.95960808707864,-734.3240744509596
8.5,-189.16950472290696,-742.3620682070288
8.519999999999998,-187.08879410799497,-749.187674963151
8.540000000000001,-185.30068844777009,-754.7493923226549
8.56,-183.22869724496687,-759.4388261060373
8.58,-180.88233634103915,-762.3128674633396
8.599999999999998,-178.53202868872356,-763.707741416541
8.620000000000001,-175.57959081236964,-763.2183495767302
8.64,-172.32752141655672,-761.3726672563905
8.66,-168.8008189960354,-758.0787739610339
8.679999999999998,-164.8887881661503,-753.2447639150201
8.700000000000001,-159.9732221816384,-746.5141372255546
8.72,-154.19331208734707,-738.9343480818623
8.74,-147.88609473845239,-730.2729273356416
8.759999999999998,-139.90210415475053,-720.8750470424337
8.779999999999998,-130.97565580597816,-710.7190955570255
8.8,-120.72145100754376,-701.6760321516857
8.82,-109.53679208414555,-693.701362536395
8.84,-96.75948852272256,-688.0927008805119
8.859999999999998,-83.27015141074381,-686.5868141178508
8.88,-68.39627295054567,-690.3106118750092
8.9,-52.60102619763857,-700.9056633392861
8.92,-33.640942681279874,-721.7742453517278
8.939999999999998,-11.246755565764763,-751.9375011423682
8.96,9.173476635638867,-774.9912441498534
8.98,27.51699860112918,-785.6424890385576
9.0,44.6683023178611,-785.781573279306
9.02,61.61137634289842,-777.1063198713649
9.040000000000001,77.25416090209566,-760.7236416867014
9.06,90.5856349702373,-739.4168566085483
9.08,100.96698274991452,-715.6975169055036
9.1,107.6117559166334,-690.2215845520425
9.120000000000001,110.4007493271154,-663.8477890288405
9.14,109.19326591778042,-636.0073654285658
9.16,105.18629044396026,-605.3672694864412
9.18,100.0450744135216,-575.52397679695
9.2,95.8863234180074,-548.5360307115263
9.22,92.94891780883167,-522.3864067651717
9.24,91.17321766483072,-495.6100346846928
9.26,89.99748626225406,-466.40784901782826
9.28,88.53039561052991,-435.72450215204486
9.3,84.40682965209038,-406.8110534001549
9.32,76.61354302943222,-379.94759876155126
9.34,63.99180028929976,-349.966670934286
9.36,46.547269107800176,-310.82191218100604
9.38,27.913892468194188,-272.17159197553343
9.4,13.043770277644152,-245.30255312847217
9.420000000000002,-0.5875826945934357,-225.1994259275456
9.44,-14.24076181328618,-209.7880118417564
9.46,-27.192452275800836,-196.37202932740408
9.48,-39.73675443119173,-181.77058196662696
9.5,-51.13834170614701,-163.4516274731918
9.52,-62.618104909551306,-141.22545371803753
9.540000000000001,-74.89151378048993,-113.77090166980038
9.56,-88.83028998486697,-80.14098939497853
9.58,-100.27067130477823,-48.07546904441131
9.6,-107.21727241165841,-21.008975623579335
9.620000000000001,-110.09180554077,6.2249529727864585
9.64,-108.51218037091728,35.8568073374655
9.66,-103.03148909512332,69.02818416612101
9.68,-95.27130497521235,104.39797286017848
9.7,-87.9536561185367,137.1366969553787
9.72,-81.78543116481683,167.88778207223064
9.74,-77.30527720251052,198.86679701307077
9.76,-75.17360321647656,230.47231861173316
9.78,-75.24702618930489,266.1443358460817
9.8,-75.81400276996833,304.34313799388275
9.82,-72.75611781704549,338.70196934464263
9.84,-64.5846938761774,368.33279439196
9.86,-52.60102619763857,392.49527978139264
9.88,-37.221885161196305,409.6603977949935
9.9,-20.09180554077004,418.2883106805895
9.920000000000002,-2.056502236474547,416.4737122515025
9.94,17.330302537231745,403.5477505494322
9.96,37.75533212356594,382.943737079304
9.98,56.68534917078395,366.8199019638284
10.0,72.23234554891945,359.5549127484158
10.02,86.4383254361206,359.00019173234114
10.04,98.54770871262272,363.54909994522023
10.06,109.19326591778042,370.8316142594587
10.08,118.43441871738035,380.42143541783594
10.1,125.69358429771017,390.3156859299019
10.12,131.34097881555462,400.5021783770527
10.14,135.50166992255308,409.9221755288344
10.16,138.41444734498762,418.49538970825193
10.18,140.29882560186277,425.35711732181255
10.2,141.1278101846242,431.2292756134577
10.22,140.713412768881,435.3140556828157
10.24,139.66015278154092,437.7494092937295
10.26,137.5829248579014,439.33845518697257
10.28,134.66830231786113,439.742613402099
10.3,130.9271626727522,438.71587568252
10.32,126.10398140775986,437.3322767698936
10.34,120.14660390142856,435.79313311240367
10.36,112.91232580251804,434.7759365751707
10.38,103.972091940805,434.4893773704616
10.4,93.243596594125,436.1969324956983
10.42,80.54056055671566,439.73488012635255
10.44,66.24096701337923,443.8732712342876
10.46,51.586988018418396,445.1801558462948
10.48,36.5153042892758,441.50679119043457
10.5,21.710425353136273,430.70612385649326
10.52,7.965362351675232,412.66449719223914
10.54,-3.83477421739308,387.747229150812
10.56,-12.746722074086588,356.3981355138821
10.58,-20.46961222511992,322.7781656890561
10.6,-29.160855241802288,292.81395890519184
10.62,-39.92679325203193,268.49113795349393
10.64,-51.548975683686145,250.33038311872576
10.66,-63.66379519037234,237.64648745791175
10.68,-75.17360321647656,229.21876796062563
10.7,-85.60061396566236,224.74113977294633
10.72,-94.68862018511376,222.6512965040436
10.74,-103.03148909512332,221.5621728550863
10.76,-109.71496693737876,221.17860495949256
10.78,-114.82967115358532,220.6219074563525
10.8,-118.7612592387128,219.4505344275269
10.82,-120.8718636559538,217.71629871925944
10.84,-121.77278275279208,214.8303895830112
10.86,-121.12062611283892,211.369888420152
10.88,-119.01488314015916,206.71067908744948
10.9,-115.48522180975375,201.4488225602044
10.92,-110.6400499084586,195.7279388186849
10.94,-104.5255768636124,190.08775598625488
10.96,-97.33998810966746,185.05483917589524
10.98,-88.83221650681243,181.29401539569668
11.0,-78.51131139376476,180.6153605395978
11.02,-66.81663085863306,183.29412141143507
11.04,-53.24773156557482,191.56045808267407
11.06,-38.45881084984313,205.88562300553264
11.08,-23.252915815179023,226.94813940131635
11.1,-9.169504722906979,255.21791969124047
11.12,1.7626207458944094,289.05285209177725
11.14,7.381416830081635,329.66121394383174
11.16,7.672478583443299,377.96897713420657
11.18,9.173476635638867,423.5247280707409
11.2,16.681512534448338,461.107938233808
11.22,27.913892468194188,493.8422594935993
11.24,41.75664830662049,521.381938754119
11.26,55.785746035708925,543.3882788722118
11.28,69.14897982819117,561.3084707610909
11.3,81.41215833459839,574.4933308558566
11.32,92.0644125545692,584.919146560069
11.34,101.25527094199852,593.0521222503564
11.36,108.54255087869976,599.7635855263162
11.38,114.61509068488486,605.6726802707544
11.4,119.48987464039358,611.6127585063359
11.42,122.92151591661712,617.9625387980973
11.44,125.69358429771017,625.0596043407588
11.46,127.16223296095784,632.996781004064
11.48,127.98657003585812,641.9050531830184
11.5,127.57496980918177,651.4062765671548
11.52,126.27725095659844,661.1149058407709
11.54,123.98288501109845,670.4461652128234
11.56,119.89187737183096,679.9761930981399
11.58,114.61509068488486,688.098525374979
11.6,107.6117559166334,695.803845153022
11.62,99.17347663563888,704.2084126645876
11.64,89.11154493004659,714.464243195537
11.66,76.90122312748856,728.0813411392728
11.68,62.01443092569185,747.4331226964102
11.7,43.62036380246253,774.1540195501259
11.72,25.1503971191938,797.9945825997446
11.74,8.25757169104763,811.098561365061
11.76,-8.253422926583708,815.1592147365245
11.78,-25.219491391096074,809.6037591269578
11.8,-41.39138699502527,794.9953196198438
11.82,-56.181814901776974,773.2857500112051
11.84,-68.1245774893598,746.7624622362908
11.86,-75.81400276996833,717.0569417486198
11.88,-78.2264414261127,683.9830470716419
11.9,-75.5300627992181,646.5871423596383
11.92,-71.2754138756234,608.0785696960003
11.94,-69.04902249926636,574.4109940166061
11.96,-69.42764017015423,542.7667534680087
11.98,-71.82965456478867,510.3831577388649
12.0,-76.09745061906918,475.3250952744675
12.02,-80.005265023551,439.528911611808
12.04,-80.29284695804128,406.1063831989072
12.06,-75.81400276996833,375.9813756654642
12.08,-66.28120499917381,343.4735637729198
12.1,-51.13834170614701,303.4256751544615
12.12,-35.75563598358148,264.8556396593968
12.14,-23.520333595672497,235.63894829905615
12.16,-13.317828845535583,210.53715822055352
12.18,-3.83477421739308,187.74949307096747
12.2,5.300701794208939,165.38783872520227
12.22,14.901037442109985,142.1172356720592
12.24,25.540567086797,116.42381884737624
12.26,38.400884950050816,85.3263625207258
12.28,54.548869351801656,44.534305908033225
12.3,68.10687023906243,6.7525725930775256
12.32,76.04254512154726,-24.09287655784445
12.34,79.33036402823873,-54.61355366867665
12.36,77.82788464305366,-88.28643593866236
12.38,73.62141148729565,-124.03878320214208
12.4,69.53038777488008,-157.95395620080782
12.42,67.17196882269393,-189.68390787416644
12.44,66.90063777573016,-220.62064825767297
12.46,69.42443744982425,-254.48381254668303
12.48,73.5359506350275,-292.88638508181754
12.5,75.32301228717243,-329.39118384055894
12.52,72.32338139438613,-361.5611157865366
12.54,64.25744422277388,-389.98551379315353
12.56,52.59906493437915,-415.2493670612333
12.58,37.75337234560933,-435.1948967714416
12.6,21.71190727409322,-447.7559307593576
12.62,5.594114305451065,-451.72826892734855
12.64,-10.669635971761256,-446.2076271703889
12.66,-27.45150512509484,-431.3825804675847
12.68,-45.74285405796589,-407.53542078093943
12.7,-63.01091970848962,-383.0304429355068
12.72,-77.02056155248108,-365.7532487644793
12.74,-88.24778131716928,-353.80522298023953
12.76,-97.62893386494584,-344.9404686511337
12.78,-105.45085583714285,-337.3318800997272
12.8,-111.78207521680044,-330.2176659294559
12.82,-116.14051856662388,-322.70209117891994
12.84,-119.16085524180228,-314.09201681757315
12.86,-120.72062761122515,-304.9194582175872
12.88,-120.46990204912026,-295.02621322180295
12.9,-119.16085524180228,-285.15715942377926
12.92,-116.79626012021139,-275.2720793215739
12.94,-113.13316003058893,-265.4642272891894
12.96,-108.14332385704404,-256.0770897059254
12.98,-102.10643669075304,-246.35360473174828
13.0,-94.68862018511376,-236.4564036006892
13.02,-85.89409892060964,-224.68654264512617
13.04,-75.52817322793571,-211.37695540398528
13.06,-63.92914322000895,-195.48716927932597
13.08,-51.368715491495294,-175.7614653069278
13.1,-38.68684270530827,-152.0275740053934
13.12,-26.796711309456786,-124.1551505401638
13.14,-17.676618605613875,-91.69349191859294
13.16,-12.746722074086588,-54.0115547081278
13.18,-12.459085573313226,-8.983166899973849
13.2,-11.246755565764763,34.73196941238135
13.22,-4.715066823971656,71.44585057418462
13.24,6.469244379280638,101.7329650275055
13.26,19.84819684885243,126.19962603997143
13.28,34.14729115728343,144.04151104388427
13.3,47.99983206473809,155.0688683310439
13.32,60.143663221510586,160.35666217670922
13.34,70.73900989452872,160.77734414983132
13.36,80.54056055671566,157.3167424740105
13.38,88.82301422434287,152.096778817397
13.4,95.59374400164432,144.52810749270876
13.42,101.54524305731591,136.80611839097156
13.44,105.75506710286616,128.62010942293276
13.46,108.91439685160621,121.08446604673983
13.48,110.12526945572495,113.89195596281992
13.5,110.12526945572495,107.18026065380649
