cuadro,x_px,y_px
0,668.664,89.25
1,663.829,99.491
2,664.112,112.13
3,652.743,122.54
4,643.113,134.808
5,643.477,149.406
6,643.571,164.128
7,643.714,179.464
8,644.173,195.173
9,644.373,211.038
10,644.731,227.332
11,645.11,244.245
12,645.751,261.345
13,646.094,278.52
14,646.491,296.425
15,647.072,314.39
16,647.677,332.579
17,648.215,351.332
18,648.896,370.2
19,649.336,389.353
20,649.874,408.628
21,650.537,428.334
22,650.938,448.445
23,651.602,469.042
24,652.213,489.73
25,652.776,510.317
26,653.319,531.093
27,653.914,552.737
28,654.411,574.395
29,654.988,596.159
30,655.73,618.484
31,656.161,640.828
32,656.654,663.21
33,656.99,686.016
34,657.644,708.852
35,668.006,720.199
36,687.533,721.035
37,688.495,742.299
38,718.992,724.52
39,728.304,732.577
40,817.771,621.595
41,874.906,578.145
42,881.419,570.988
