cuadro,x_px,y_px
0,641.611,56.532
1,641.698,68.808
2,641.808,81.493
3,641.901,94.456
4,642.008,107.375
5,642.249,121.063
6,642.307,135.013
7,642.542,149.329
8,642.643,164.116
9,643.009,179.13
10,643.166,194.643
11,643.465,210.474
12,643.884,226.717
13,644.194,243.217
14,644.518,260.329
15,644.924,277.33
16,645.213,294.587
17,645.499,312.481
18,645.797,330.524
19,646.295,349.091
20,646.647,367.8
21,646.928,386.734
22,647.123,405.567
23,647.496,425.202
24,647.81,445.141
25,648.084,465.032
26,648.367,485.734
27,648.684,506.411
28,649.066,526.269
29,649.238,547.417
30,649.531,569.311
31,649.765,590.695
32,649.97,612.379
33,650.19,634.613
34,650.247,656.706
35,650.254,678.85
36,650.232,701.713
37,650.265,724.305
38,650.352,747.029
39,650.203,770.165
40,650.073,793.586
41,649.986,816.236
42,649.887,832.105
43,650.05,896.7
44,647.717,894.007
