cuadro,x_px,y_px
0,644.765,52.476
1,644.77,64.54
2,644.723,77.054
3,644.68,89.993
4,644.539,103.198
5,644.528,116.587
6,644.497,130.413
7,644.386,144.585
8,644.286,159.182
9,644.357,174.062
10,644.144,189.429
11,643.918,205.184
12,643.899,221.406
13,643.641,238.053
14,643.581,254.855
15,643.319,271.856
16,643.246,289.394
17,643.187,307.255
18,643.158,325.331
19,643.066,343.753
20,642.926,362.396
21,642.917,381.44
22,642.651,400.55
23,642.639,420.021
24,642.519,440.037
25,642.549,459.982
26,642.571,480.461
27,642.549,501.41
28,642.648,521.532
29,1105.212,209.295
30,642.738,564.587
31,642.671,585.984
32,642.662,607.641
33,642.71,629.978
34,642.767,652.115
35,642.509,674.602
36,642.61,697.318
37,642.551,720.221
38,642.533,743.057
39,642.54,766.401
40,642.4,789.868
41,642.29,813.132
42,642.101,830.275
43,640.5,840.0
44,637.859,897.261
