cuadro,x_px,y_px
0,479.64,114.532
1,482.853,121.738
2,489.038,129.052
3,494.244,136.672
4,501.872,144.415
5,508.189,152.627
6,542.116,155.931
7,551.956,165.949
8,583.546,173.096
9,585.584,186.691
10,590.045,200.55
11,594.281,215.097
12,610.822,230.963
13,633.66,249.248
14,644.802,267.921
15,645.134,285.239
16,645.582,302.999
17,646.04,321.283
18,646.5,339.861
19,646.918,358.512
20,647.322,377.697
21,647.583,397.095
22,648.009,416.279
23,648.314,436.072
24,648.85,456.603
25,649.245,477.11
26,649.543,498.019
27,649.874,518.265
28,641.761,533.513
29,628.743,544.761
30,602.877,545.033
31,578.392,544.348
32,567.146,553.04
33,565.142,569.669
34,542.253,567.011
35,537.868,579.824
36,537.238,597.87
37,525.885,602.679
38,520.819,614.269
39,514.641,625.174
40,506.938,631.696
41,452.785,578.348
42,238.786,311.852
43,302.304,412.5
