cuadro,x_px,y_px
0,648.031,88.424
1,648.238,101.506
2,648.371,115.192
3,648.444,129.082
4,648.668,143.336
5,648.574,157.929
6,648.717,172.943
7,648.876,188.529
8,648.794,204.139
9,648.52,220.377
10,648.524,236.907
11,648.387,253.639
12,648.239,270.852
13,648.297,288.203
14,648.24,306.144
15,648.177,324.32
16,648.152,343.227
17,648.181,361.668
18,648.031,380.813
19,648.016,400.188
20,647.953,419.493
21,647.865,439.081
22,647.816,459.725
23,647.916,480.367
24,647.98,501.063
25,647.907,521.504
26,648.078,542.767
27,647.956,564.259
28,647.951,586.049
29,648.001,608.064
30,647.868,629.844
31,647.776,652.222
32,647.939,674.73
33,647.811,697.288
34,647.829,720.055
35,647.652,743.046
36,647.571,766.615
37,647.182,789.648
38,646.909,812.81
39,646.9,830.643
40,643.078,856.216
41,645.755,902.114
