cuadro,x_px,y_px
0,645.01,42.958
1,645.307,54.446
2,645.529,66.707
3,645.628,79.599
4,645.901,92.512
5,646.297,105.779
6,646.729,119.189
7,646.975,133.331
8,647.48,147.685
9,647.826,162.476
10,648.143,177.643
11,648.616,193.514
12,648.933,209.273
13,649.214,225.345
14,649.834,242.274
15,650.101,259.463
16,650.683,276.715
17,651.018,294.483
18,651.457,312.656
19,651.8,330.902
20,652.19,349.751
21,652.693,368.669
22,653.121,387.769
23,653.499,407.085
24,654.105,426.91
25,654.581,446.998
26,655.193,467.577
27,655.61,488.554
28,656.082,509.212
29,656.494,529.672
30,657.042,551.5
31,657.422,573.353
32,657.876,595.194
33,658.286,617.316
34,658.967,639.786
35,659.286,662.541
36,659.946,685.014
37,660.28,708.019
38,660.951,731.001
39,661.142,753.764
40,661.623,777.559
41,661.955,801.064
42,662.663,823.22
43,662.552,837.855
44,663.673,905.273
45,661.665,904.207
