cuadro,x_px,y_px
0,646.448,70.656
1,646.426,83.639
2,646.591,96.462
3,646.636,109.763
4,646.652,123.54
5,646.681,137.733
6,646.749,152.181
7,646.627,167.103
8,646.608,182.408
9,646.554,198.047
10,646.511,214.388
11,646.518,230.757
12,646.4,247.479
13,646.382,264.614
14,646.394,282.114
15,646.188,299.739
16,646.062,318.072
17,645.896,336.713
18,645.665,355.302
19,645.555,374.248
20,645.356,393.631
21,645.087,413.159
22,644.823,433.0
23,644.743,453.196
24,644.42,474.015
25,644.299,494.922
26,643.787,515.362
27,643.79,536.728
28,643.231,558.653
29,643.017,580.215
30,642.619,602.277
31,642.289,624.324
32,641.728,646.81
33,641.202,669.528
34,640.858,692.347
35,640.203,715.181
36,639.752,738.144
37,639.049,761.555
38,638.537,785.12
39,637.777,808.319
40,637.272,827.736
41,636.464,838.725
42,632.503,899.701
