cuadro,x_px,y_px
0,640.516,70.584
1,640.456,83.811
2,640.756,97.037
3,640.885,110.875
4,641.126,124.987
5,641.344,139.411
6,641.723,154.342
7,642.038,169.648
8,642.19,185.367
9,642.59,201.38
10,642.73,217.706
11,643.093,234.697
12,643.547,251.705
13,643.782,269.242
14,644.293,287.093
15,644.557,305.357
16,644.925,323.688
17,645.133,342.745
18,645.609,361.873
19,645.957,381.068
20,646.344,400.715
21,646.732,420.554
22,647.063,440.816
23,647.478,461.252
24,647.869,482.365
25,648.337,503.391
26,648.529,524.11
27,648.968,545.679
28,649.305,567.878
29,649.953,589.714
30,650.348,612.118
31,650.694,634.617
32,651.149,657.06
33,651.723,680.098
34,652.081,703.197
35,652.515,726.213
36,652.915,749.773
37,653.17,773.292
38,653.593,796.918
39,653.906,820.175
40,654.121,833.827
41,653.711,900.266
42,654.673,901.691
