cuadro,x_px,y_px
0,646.033,56.709
1,646.244,69.255
2,646.094,82.142
3,646.32,95.081
4,646.328,108.587
5,646.389,122.216
6,646.504,136.255
7,646.436,150.678
8,646.373,165.541
9,646.433,180.692
10,646.386,196.491
11,646.229,212.464
12,646.16,228.87
13,646.1,245.71
14,645.929,262.828
15,645.945,280.037
16,645.88,297.588
17,645.731,315.745
18,645.662,334.111
19,645.671,352.576
20,645.42,371.753
21,645.207,390.993
22,645.124,410.27
23,645.022,429.736
24,644.884,449.934
25,644.808,470.506
26,644.797,491.084
27,644.626,511.882
28,644.615,532.598
29,644.409,554.085
30,644.416,575.798
31,644.323,597.401
32,644.264,619.614
33,643.959,641.718
34,643.991,664.114
35,643.966,686.724
36,658.281,707.456
37,675.309,720.16
38,707.503,705.23
39,719.078,713.668
40,729.428,719.397
41,751.134,712.401
42,877.997,584.538
43,989.218,469.021
44,962.676,492.389
