cuadro,s1,s2,s3,s4
0,536.725,408.833,586.621,481.924
1,535.11,434.814,584.492,499.99
2,534.627,450.225,584.276,511.386
3,534.595,458.389,584.612,517.627
4,534.574,467.148,585.367,524.4
5,534.515,477.148,586.97,531.513
6,534.919,511.288,595.659,554.485
7,536.054,525.33,600.677,562.093
8,537.086,538.795,605.35,569.868
9,539.817,554.919,611.587,577.565
10,542.884,571.251,618.817,584.896
11,573.456,646.56,652.273,607.671
12,586.732,666.404,658.912,616.122
13,606.916,684.816,664.657,621.158
14,650.86,719.958,684.643,612.397
15,722.353,718.631,704.388,616.798
16,828.952,592.372,744.661,582.101
17,836.978,556.393,757.356,570.28
18,836.398,543.139,760.456,562.676
19,834.973,532.182,762.382,555.0
20,836.45,514.802,769.379,549.73
21,835.744,501.592,773.318,543.337
22,829.909,508.997,759.85,530.569
23,827.861,502.533,756.595,522.857
24,820.486,449.991,758.631,494.631
25,813.431,433.288,757.637,485.104
26,808.388,427.746,755.878,481.202
27,804.154,427.856,753.774,479.985
28,801.885,431.073,752.269,480.514
29,800.87,433.833,750.821,481.345
30,800.098,436.958,750.038,482.321
31,799.366,440.711,749.046,483.355
32,798.546,445.104,747.688,484.83
33,813.222,467.195,754.67,454.776
34,813.815,476.217,754.105,462.667
35,814.376,481.752,753.834,466.53
36,815.557,494.042,753.441,476.967
37,813.244,515.889,748.762,492.999
38,808.081,542.221,745.593,512.692
39,794.463,569.853,739.627,533.481
40,788.144,579.18,737.691,540.58
41,780.178,588.181,734.685,546.955
42,770.759,596.91,730.576,552.486
43,759.726,603.822,725.784,554.429
44,742.713,618.797,715.0,568.3
45,713.533,605.862,643.475,615.121
46,661.876,621.907,590.263,650.663
47,650.662,605.635,577.591,666.258
48,633.285,590.272,569.017,674.51
49,625.556,581.19,568.377,673.446
50,617.542,573.666,568.73,670.532
51,612.062,565.424,570.833,663.227
52,607.809,557.547,573.262,652.864
53,602.424,551.913,576.398,644.11
54,591.768,535.164,586.429,611.028
55,617.747,513.771,572.766,561.027
56,613.927,519.779,555.914,523.109
57,613.813,513.903,553.64,516.529
58,618.691,500.256,551.934,502.159
59,618.229,492.948,551.352,496.039
60,612.81,483.745,551.805,490.098
61,610.432,477.333,552.76,488.526
62,607.627,470.035,553.351,488.837
63,616.506,498.465,562.951,467.624
64,579.432,498.512,573.498,434.707
65,579.938,504.224,560.705,438.164
66,581.351,508.109,553.673,443.377
67,583.471,515.624,540.953,454.147
68,588.946,528.579,524.757,478.765
69,597.023,542.325,514.195,513.6
70,607.374,562.309,511.18,571.418
71,611.418,566.611,515.729,588.757
72,620.128,574.222,531.189,623.132
73,623.788,579.045,540.525,639.931
74,632.849,586.346,567.88,671.003
75,642.655,593.473,606.509,691.315
76,653.196,601.818,649.021,701.822
77,664.952,617.633,718.443,731.329
78,684.596,612.119,742.177,695.39
79,697.133,616.91,759.297,686.073
80,715.342,613.142,789.062,665.572
81,731.95,597.912,813.555,645.214
82,738.869,592.414,824.435,635.388
83,748.674,577.102,841.712,617.13
84,754.993,561.232,853.972,599.575
85,761.385,548.697,867.968,582.295
86,766.34,537.196,877.277,567.415
87,768.473,531.866,881.805,560.374
88,770.172,526.704,885.008,553.694
89,771.281,516.682,889.249,541.357
90,772.568,508.483,891.984,530.948
91,773.183,501.77,892.737,522.24
92,773.081,498.973,892.284,518.636
93,773.359,494.444,891.999,513.089
94,772.854,492.694,891.218,510.934
95,773.409,490.307,891.261,508.757
96,773.569,489.565,890.149,509.447
97,773.426,492.061,889.532,515.228
98,773.219,497.501,888.658,526.076
99,772.384,503.006,887.018,535.739
100,772.246,506.319,886.152,541.406
101,770.914,518.155,882.611,561.767
102,766.703,532.888,873.704,584.926
103,762.449,544.052,864.621,602.043
104,757.377,556.76,853.125,620.053
105,750.26,570.647,837.345,637.226
106,735.882,593.85,808.704,663.733
107,718.94,605.132,783.041,679.66
108,705.894,617.783,756.746,697.191
109,681.443,612.374,727.315,716.826
110,665.543,590.578,659.028,649.146
111,655.864,604.027,652.8,698.464
112,637.787,590.565,600.808,689.245
113,627.3,582.442,566.915,672.053
114,619.163,573.309,540.394,647.477
115,615.943,568.628,530.08,633.976
116,611.26,559.073,516.615,606.109
117,606.389,551.023,503.701,579.366
118,601.611,543.906,496.898,553.363
119,598.03,536.898,494.875,530.292
120,593.693,527.867,498.4,501.709
121,593.082,525.105,501.002,494.41
122,590.139,518.99,508.866,474.804
123,588.682,516.229,515.43,465.494
124,587.536,514.692,522.824,459.713
125,586.705,514.357,526.694,457.274
126,585.802,514.36,530.665,455.587
127,583.937,514.648,534.838,453.722
