cuadro,s1,s2,s3,s4
0,581.926,371.238,577.595,446.418
1,586.631,380.166,576.422,450.995
2,590.982,389.044,575.806,454.613
3,613.183,396.84,565.612,436.253
4,620.838,400.552,570.418,440.503
5,628.501,403.274,573.291,446.59
6,636.58,405.425,579.186,452.498
7,644.46,407.88,583.32,458.5
8,649.895,412.216,585.64,464.185
9,656.931,415.914,591.716,466.923
10,662.429,422.029,592.465,466.453
11,666.256,431.128,589.456,469.103
12,671.107,443.046,591.777,472.51
13,675.506,460.758,593.273,474.71
14,680.228,481.767,595.51,477.91
15,686.616,494.948,594.602,482.434
16,693.844,506.726,596.039,486.528
17,703.138,520.499,603.615,490.276
18,709.469,529.806,606.939,495.453
19,712.576,537.835,606.949,501.48
20,715.618,548.662,608.204,508.123
21,721.29,563.534,610.625,516.144
22,719.519,572.891,606.937,523.45
23,712.621,580.098,600.898,529.807
24,704.595,587.012,601.768,540.275
25,692.228,594.416,598.849,548.436
26,674.781,602.319,594.198,555.493
27,658.58,610.372,586.741,561.197
28,643.123,616.671,578.306,567.495
29,625.222,622.736,571.435,573.214
30,609.105,627.426,563.744,580.667
31,602.522,627.337,545.784,583.821
32,606.638,621.509,538.903,605.592
33,604.219,619.332,525.682,606.29
34,596.043,620.063,515.66,598.811
35,588.761,624.775,506.239,595.316
36,511.636,554.048,498.321,619.716
37,506.066,547.824,479.795,613.885
38,500.02,543.662,473.717,614.194
39,490.332,542.581,467.699,620.745
40,484.796,537.933,450.712,618.717
41,480.612,532.702,432.24,613.595
42,477.061,528.072,413.537,607.082
43,474.236,523.989,395.23,597.203
44,471.589,520.56,377.374,585.481
45,469.691,517.699,363.359,569.153
46,468.896,515.31,352.264,551.033
47,468.15,513.303,347.122,530.065
48,467.435,511.446,347.216,509.27
49,467.529,509.254,354.687,490.191
50,469.347,506.437,366.82,474.652
51,470.716,503.555,380.167,462.618
52,475.94,500.364,396.08,457.643
53,481.675,497.058,410.147,458.404
54,485.0,494.194,422.954,454.637
55,480.063,462.367,418.67,476.279
56,486.184,466.421,421.564,473.619
57,492.056,471.56,422.166,470.448
58,493.986,477.906,421.821,466.864
59,492.318,482.193,421.272,462.408
60,489.202,488.892,425.199,460.02
61,481.314,492.063,425.15,459.08
62,496.043,472.362,429.17,479.828
63,491.714,469.279,417.887,479.778
64,483.991,465.15,403.386,482.939
65,483.438,465.108,394.743,477.546
66,474.452,462.079,373.812,480.953
67,472.197,463.002,361.672,475.208
68,470.708,464.943,352.65,467.151
69,469.366,467.908,346.443,458.702
70,468.178,471.52,343.769,450.161
71,467.159,475.616,344.498,442.42
72,466.786,480.186,350.726,437.17
73,466.046,484.664,359.41,434.425
74,468.333,489.198,371.249,436.41
75,470.51,493.441,383.134,441.622
76,474.964,497.468,395.882,450.785
77,481.112,500.521,407.795,464.66
78,486.065,503.344,418.565,474.844
79,476.051,482.704,416.861,508.739
80,480.699,492.796,417.188,519.906
81,488.462,501.957,419.548,528.404
82,491.72,513.436,419.604,538.078
83,496.344,525.118,425.481,546.308
84,495.943,538.865,429.331,556.298
85,497.188,550.994,435.513,567.473
86,494.495,529.861,461.532,592.043
87,491.15,539.075,465.753,614.274
88,489.955,548.894,468.292,635.359
89,491.728,558.452,469.038,654.449
90,495.825,568.636,468.655,672.701
91,503.89,576.109,466.817,683.088
92,512.312,585.417,465.431,687.707
93,521.578,596.292,465.389,685.98
94,529.704,607.387,466.849,678.357
95,543.073,606.061,475.582,664.764
96,554.302,605.987,482.69,650.108
97,570.434,608.878,488.499,633.213
98,576.784,601.864,495.927,614.768
99,594.448,619.264,546.702,574.318
100,603.98,615.225,562.869,559.912
101,599.507,583.861,232.875,583.938
102,625.547,603.053,581.71,550.75
103,635.709,595.93,587.152,542.224
104,643.42,587.851,590.724,535.336
105,653.446,581.842,596.875,534.956
106,661.55,571.94,599.364,527.906
107,671.095,542.721,597.261,527.465
108,681.606,525.379,597.191,524.674
109,691.786,515.045,599.993,519.674
110,705.664,503.923,608.312,518.352
111,718.664,495.098,616.065,515.871
112,730.32,489.121,622.217,511.877
113,740.393,485.744,625.916,507.358
114,748.726,484.235,628.644,502.351
115,754.955,484.586,632.562,496.843
116,756.418,486.77,632.096,491.798
117,754.038,489.839,631.204,487.122
118,749.735,492.722,630.878,482.989
119,742.552,494.929,628.409,479.707
120,734.508,497.006,626.111,477.17
121,724.621,497.475,622.087,475.768
122,714.199,497.049,617.65,475.149
123,703.017,494.883,611.224,475.961
124,693.073,492.48,606.657,476.873
125,684.242,489.677,602.509,478.243
126,679.77,482.197,602.497,478.73
127,679.623,471.08,603.696,481.002
128,679.466,468.004,604.235,482.454
129,679.924,468.363,603.206,483.637
130,680.326,471.055,603.447,490.56
131,681.305,474.505,603.72,489.882
132,682.454,478.785,603.293,488.223
133,682.518,484.112,602.657,486.645
134,682.606,489.673,602.61,485.907
135,682.756,495.409,604.161,492.037
136,682.366,500.738,604.251,496.447
137,682.039,504.78,602.925,498.769
138,680.447,504.161,596.62,507.213
139,681.199,499.928,596.305,510.477
140,685.556,501.874,594.145,514.661
141,691.586,509.419,592.897,518.202
142,697.918,518.072,592.635,521.944
143,703.659,528.252,591.054,525.842
144,708.336,541.463,585.711,531.236
145,710.19,557.186,586.853,535.876
146,712.113,573.636,587.96,540.929
147,700.553,587.572,587.325,543.566
148,642.34,571.898,232.068,594.277
149,646.02,585.861,231.975,594.377
150,679.049,639.701,588.64,556.14
151,664.226,653.677,586.008,559.304
152,646.423,663.71,583.472,563.545
153,626.0,669.033,580.962,566.636
154,600.057,624.048,231.858,594.302
155,593.141,608.619,231.858,594.302
156,579.457,613.865,231.702,593.484
157,577.897,604.33,483.452,683.183
158,570.764,609.768,481.292,672.352
159,555.897,609.2,474.294,663.272
160,541.71,610.999,458.806,655.692
161,525.237,615.962,438.892,647.558
162,519.444,607.051,429.591,640.173
163,513.165,597.692,422.34,633.687
164,506.271,589.518,414.234,627.192
165,499.088,582.493,404.138,621.705
166,491.39,576.708,386.869,613.14
167,485.72,569.047,380.673,605.315
168,481.293,560.831,371.348,598.09
169,478.119,552.407,364.941,590.877
