cuadro,s1,s2,s3,s4
0,538.152,414.871,585.754,486.203
1,537.57,426.483,584.753,494.43
2,537.417,432.8,583.875,499.172
3,537.114,447.995,584.065,509.972
4,537.047,455.223,584.151,515.94
5,537.178,472.971,586.113,529.07
6,537.214,482.795,587.956,536.284
7,537.419,504.015,593.662,551.2
8,538.165,516.857,597.972,558.835
9,540.808,544.634,608.586,573.869
10,543.737,560.636,615.009,581.703
11,546.922,576.775,622.914,588.47
12,551.719,594.912,631.195,595.228
13,560.082,613.419,639.456,601.205
14,569.516,632.246,648.557,605.421
15,579.505,651.85,655.685,612.414
16,616.477,688.109,668.751,621.813
17,639.36,702.901,682.675,612.656
18,655.199,729.063,687.865,612.215
19,704.541,641.526,696.862,588.65
20,727.721,716.346,705.38,619.787
21,754.2,700.64,710.162,616.469
22,775.327,684.092,716.193,610.61
23,795.74,666.68,723.118,605.602
24,810.004,646.455,730.72,599.371
25,822.091,626.007,738.678,596.907
26,830.01,606.419,743.798,589.927
27,834.818,567.772,753.787,575.992
28,834.75,538.433,761.711,561.821
29,833.204,509.708,771.161,549.283
30,824.386,521.059,753.273,532.75
31,823.695,512.017,753.815,527.009
32,822.18,494.912,754.842,516.976
33,821.284,487.265,755.398,512.686
34,819.909,480.149,754.945,508.399
35,818.47,473.258,754.558,504.498
36,816.98,467.364,754.639,501.139
37,815.476,461.39,755.423,498.081
38,813.676,456.547,754.894,495.166
39,811.69,452.416,754.012,492.689
40,809.972,448.432,754.17,490.5
41,807.917,445.585,753.222,488.642
42,791.329,414.198,786.038,480.488
43,802.707,440.202,751.448,484.476
44,800.926,439.78,749.935,483.743
45,799.526,439.872,749.189,483.098
46,796.787,441.844,747.017,482.926
47,811.739,460.589,752.508,451.352
48,811.428,461.86,751.62,453.409
49,812.705,466.54,751.361,457.947
50,813.064,472.477,750.057,464.468
51,814.579,480.847,749.123,472.149
52,814.405,485.727,747.795,476.478
53,815.224,491.181,746.875,481.01
54,815.728,497.25,746.869,486.564
55,815.699,503.701,746.659,492.152
56,816.244,518.547,747.342,504.28
57,814.268,526.202,746.395,510.333
58,807.596,542.904,743.203,523.347
59,803.676,551.612,741.555,530.288
60,799.346,560.904,740.944,537.373
61,794.402,570.187,740.593,544.025
62,769.363,588.527,736.328,537.637
63,757.084,607.75,733.703,549.65
64,742.932,619.272,732.398,557.652
65,664.71,658.343,738.955,597.554
66,648.78,689.811,720.965,608.596
67,647.021,703.001,710.388,614.991
68,648.606,718.347,686.432,613.765
69,650.166,720.861,669.267,622.385
70,651.283,714.034,661.21,614.507
71,645.429,685.936,641.641,595.124
72,639.168,672.27,634.061,585.994
73,622.546,641.92,626.573,564.584
74,616.829,630.554,622.355,558.138
75,602.177,602.946,624.045,539.684
76,595.154,589.364,624.844,532.704
77,576.209,563.372,627.556,535.371
78,559.478,537.314,617.072,523.461
79,554.327,516.603,617.743,509.954
80,553.258,510.684,618.07,506.291
81,551.927,500.918,618.74,499.825
82,551.293,493.118,619.489,494.072
83,551.689,490.354,619.839,492.135
84,551.84,488.02,618.931,490.093
85,552.464,484.339,618.107,486.618
86,552.828,484.144,618.115,485.994
87,552.768,484.68,617.794,485.657
88,552.484,487.047,616.912,486.563
89,552.036,489.162,616.476,487.272
90,551.941,495.107,616.078,490.129
91,552.208,498.906,616.287,491.824
92,552.338,503.255,616.113,494.398
93,553.95,513.436,617.191,499.539
94,554.874,519.448,617.396,502.785
95,555.966,526.054,617.615,506.179
96,557.784,532.955,618.625,509.89
97,563.664,547.292,621.562,517.665
98,571.457,563.398,625.018,526.499
99,576.036,571.986,626.87,531.519
100,581.952,580.105,629.696,536.133
101,588.483,588.338,632.862,540.983
102,604.55,603.772,640.913,551.318
103,623.742,618.414,648.815,565.524
104,635.623,623.175,654.277,569.73
105,645.735,630.217,659.979,578.225
106,667.029,635.515,674.462,582.322
107,698.964,624.051,711.252,563.837
108,710.527,623.822,722.513,560.52
109,720.768,620.202,729.393,559.304
110,733.386,615.919,736.481,556.2
111,752.617,604.982,754.54,545.225
112,770.206,592.248,766.013,535.894
113,761.968,571.244,805.155,526.498
114,765.288,565.322,816.068,522.678
115,768.374,553.481,835.237,518.779
116,767.343,546.85,843.046,518.457
117,761.948,537.918,846.831,522.232
118,766.885,529.74,863.378,514.261
119,769.999,526.264,871.632,511.016
120,772.18,513.991,887.481,509.996
121,772.538,510.4,890.312,511.382
122,772.973,504.08,893.653,515.663
123,772.672,501.476,892.476,518.659
124,773.219,497.453,888.659,525.501
125,773.24,496.148,884.934,528.912
126,773.443,494.76,876.924,536.877
127,772.139,494.676,871.457,540.178
128,771.228,495.044,865.922,543.67
129,771.179,497.109,855.775,552.737
130,771.101,498.796,850.108,557.225
131,768.228,503.207,838.321,565.592
132,767.143,509.227,826.858,576.19
133,766.373,516.941,815.046,588.586
134,765.686,521.372,808.884,595.328
135,769.313,534.192,793.059,615.991
136,769.29,541.453,784.256,626.157
137,766.934,547.779,776.139,634.395
138,762.081,552.149,771.382,638.336
139,754.57,554.564,767.087,640.841
140,752.622,562.643,757.252,651.775
141,750.229,572.382,747.311,663.334
142,739.043,585.456,735.309,673.95
143,719.971,593.31,724.982,671.705
144,701.179,588.762,706.749,648.622
145,677.101,588.27,671.091,645.007
146,658.292,594.096,651.716,670.171
147,647.942,593.021,647.119,675.836
148,638.758,590.374,642.757,678.437
149,622.707,583.9,633.162,675.802
150,709.089,619.669,784.876,652.759
151,611.235,571.35,617.041,661.989
152,607.265,564.391,607.601,653.59
153,600.303,552.154,590.912,640.731
