cuadro,s1,s2,s3,s4
0,608.704,386.977,592.487,453.945
1,651.994,404.424,585.32,429.232
2,657.866,408.661,588.359,437.496
3,662.836,413.732,591.802,444.393
4,667.699,419.79,594.418,451.179
5,670.985,427.206,596.081,458.674
6,674.631,435.329,599.206,466.117
7,677.386,444.324,601.718,473.109
8,678.962,454.275,603.472,480.277
9,680.199,465.466,603.891,487.465
10,681.372,476.777,604.33,491.91
11,682.314,488.667,604.548,497.243
12,682.922,501.134,605.454,502.926
13,682.778,514.699,607.914,515.215
14,673.823,542.439,604.125,504.924
15,671.433,565.881,606.318,510.828
16,669.705,587.905,610.236,518.187
17,669.4,607.725,611.694,526.608
18,668.8,628.302,613.402,537.712
19,668.428,649.428,614.725,550.896
20,667.573,662.963,609.8,561.26
21,665.092,671.158,601.966,570.707
22,659.473,673.797,593.832,582.1
23,651.018,672.606,583.789,593.585
24,643.211,669.218,575.976,607.172
25,626.773,661.18,560.411,606.831
26,616.859,653.406,543.3,607.376
27,608.876,644.976,529.981,607.05
28,600.177,636.041,519.298,599.587
29,592.082,627.09,509.191,596.016
30,513.902,552.105,503.084,615.98
31,508.715,545.346,482.998,606.836
32,506.32,538.497,475.633,597.086
33,503.123,531.244,469.474,587.007
34,501.97,551.649,446.424,573.961
35,498.296,551.302,437.684,561.199
36,493.524,546.504,432.228,549.242
37,487.917,541.637,427.024,537.895
38,482.473,535.929,422.81,527.265
39,489.258,498.424,430.323,536.088
40,486.268,493.097,423.952,530.244
41,484.279,487.8,417.264,523.464
42,481.778,482.584,409.23,515.922
43,480.729,477.57,401.178,507.614
44,477.293,472.21,391.368,501.199
45,479.945,469.27,386.666,486.317
46,477.56,464.928,376.333,478.31
47,477.569,461.997,369.526,466.635
48,476.502,459.124,363.716,454.136
49,477.258,457.661,360.891,440.7
50,477.609,456.725,359.441,427.252
51,477.179,455.857,359.378,414.491
52,477.051,455.636,362.632,402.188
53,476.751,455.684,367.526,391.212
54,476.362,455.979,375.022,382.395
55,477.354,457.209,385.592,377.64
56,476.994,457.746,395.691,374.244
57,477.749,458.959,406.233,372.294
58,478.361,460.061,416.799,372.796
59,480.164,461.806,427.007,377.6
60,481.355,463.153,436.155,383.647
61,487.147,466.59,444.407,395.337
62,491.726,469.197,450.229,405.866
63,496.574,471.802,454.583,417.05
64,499.97,448.567,439.568,434.833
65,499.838,456.104,436.611,439.538
66,501.222,465.746,434.898,443.294
67,498.618,473.674,431.525,446.036
68,494.54,481.338,431.378,450.663
69,486.672,489.62,429.852,455.301
70,479.919,497.052,428.06,462.532
71,493.592,476.925,426.994,491.194
72,486.981,477.63,415.234,500.606
73,479.603,479.075,402.276,512.615
74,474.871,482.429,389.575,521.437
75,471.974,487.179,378.459,527.274
76,470.363,492.683,368.102,531.71
77,468.238,499.133,357.375,536.87
78,467.151,506.522,349.915,539.742
79,468.635,514.092,348.325,540.8
80,470.055,522.171,351.57,541.485
81,472.827,529.793,359.293,542.833
82,478.799,535.515,372.941,546.369
83,483.84,541.391,386.81,550.379
84,488.954,546.938,402.148,556.141
85,496.993,549.223,420.589,563.893
86,503.792,552.129,438.722,572.313
87,512.316,551.91,456.829,579.189
88,488.645,549.613,484.434,608.556
89,499.625,554.043,497.986,615.457
90,511.478,557.387,512.023,621.308
91,521.526,559.97,525.939,625.903
92,536.277,565.108,537.811,627.5
93,553.038,573.101,558.115,630.888
94,574.381,565.162,575.842,629.611
95,582.407,558.896,587.449,622.935
96,586.873,559.974,601.594,618.651
97,586.952,558.291,616.391,610.937
98,595.494,548.23,625.81,605.456
99,606.427,541.15,638.888,598.243
100,597.95,543.413,664.616,564.097
