cuadro,s1,s2,s3,s4
0,536.532,426.847,585.945,494.39
1,536.304,433.26,585.011,499.367
2,535.72,449.119,584.752,510.346
3,535.806,456.353,584.102,516.467
4,535.783,465.094,585.162,523.052
5,536.523,484.717,593.85,529.608
6,535.74,484.552,588.451,537.158
7,535.855,495.252,591.143,544.749
8,536.072,507.009,594.521,552.496
9,539.653,548.954,609.778,575.573
10,547.48,583.154,625.74,589.384
11,561.989,620.152,642.555,600.487
12,599.041,678.48,663.252,619.684
13,644.878,711.824,683.052,612.9
14,717.145,719.681,703.365,619.339
15,734.65,709.2,705.3,620.359
16,783.629,677.924,719.35,611.663
17,801.992,658.99,726.673,605.382
18,816.372,638.41,735.642,601.334
19,823.392,618.602,740.497,594.035
20,827.64,598.85,744.383,585.952
21,833.67,579.002,750.595,579.728
22,834.493,562.696,754.56,572.259
23,836.417,531.486,764.437,559.06
24,826.388,525.744,753.564,536.034
25,825.056,498.173,754.502,518.534
26,823.522,481.074,757.235,510.534
27,822.428,474.08,757.267,506.319
28,819.446,460.48,757.428,499.161
29,816.101,449.694,757.426,493.188
30,814.154,445.157,756.733,490.546
31,810.715,438.231,756.22,486.291
32,808.795,436.019,754.893,484.775
33,807.158,433.773,755.06,483.357
34,805.354,433.026,753.523,482.41
35,803.742,432.211,752.582,481.678
36,802.434,431.899,752.842,481.054
37,799.762,434.497,749.751,481.137
38,798.55,436.135,748.982,481.43
39,797.759,438.792,748.36,482.022
40,812.075,459.903,753.835,449.568
41,812.041,462.558,753.126,451.629
42,813.958,472.865,752.501,461.985
43,814.154,477.368,752.166,466.087
44,814.433,482.364,751.422,470.588
45,814.882,487.971,750.762,474.963
46,815.451,494.168,749.855,480.092
47,814.59,500.758,747.831,485.412
48,814.779,508.027,747.466,491.271
49,813.842,515.596,746.991,497.271
50,813.874,524.172,747.32,504.007
51,812.166,532.645,746.222,510.619
52,809.423,541.105,744.643,516.926
53,805.395,550.021,743.003,523.88
54,794.605,567.976,738.722,536.954
55,780.979,586.772,735.012,550.232
56,758.638,602.617,730.355,550.858
57,752.591,610.525,717.416,565.239
58,729.843,602.675,645.507,635.298
59,720.261,607.834,639.972,649.141
60,702.187,618.197,629.781,673.58
61,685.209,614.986,625.845,683.714
62,669.621,618.5,621.123,692.877
63,662.358,613.377,618.238,698.477
64,653.117,603.049,617.048,699.635
65,643.811,594.879,616.219,697.188
66,634.215,588.824,615.952,691.978
67,624.444,584.214,616.091,684.222
68,617.213,577.044,615.699,672.861
69,611.259,570.537,615.72,661.435
70,601.548,558.186,615.379,635.955
71,596.44,554.92,619.893,627.25
