cuadro,s1,s2,s3,s4
0,534.211,430.581,585.296,496.574
1,533.737,437.367,584.601,501.538
2,533.381,444.395,584.474,506.833
3,533.02,452.27,584.603,512.566
4,532.832,463.322,586.719,519.03
5,532.379,469.689,585.984,525.417
6,532.044,489.686,589.7,539.44
7,532.106,501.094,592.577,546.986
8,532.386,513.332,596.27,554.434
9,533.376,526.945,600.574,562.006
10,534.764,541.52,605.78,569.664
11,536.77,556.707,611.832,576.824
12,541.581,574.773,619.506,583.494
13,547.059,593.199,629.214,588.595
14,554.486,611.023,637.686,593.349
15,565.374,629.716,646.412,596.909
16,575.971,648.497,653.332,602.728
17,589.384,667.535,660.2,608.269
18,608.48,684.836,665.292,613.477
19,633.907,697.426,671.89,605.026
20,651.753,717.159,683.218,606.206
21,690.586,636.252,686.671,575.554
22,721.031,719.472,700.398,610.874
23,739.777,700.25,706.112,609.411
24,764.71,687.334,708.24,603.562
25,785.037,670.958,715.378,602.243
26,799.903,652.459,722.117,596.313
27,811.989,633.452,728.498,589.48
28,819.158,616.804,736.504,587.788
29,828.033,596.116,743.61,583.022
30,833.408,578.378,749.106,576.517
31,836.182,562.085,754.017,569.933
32,837.01,548.198,757.75,562.784
33,838.347,534.341,761.767,556.158
34,830.943,534.626,752.528,541.477
35,831.274,524.523,753.568,535.044
36,831.551,514.649,754.194,528.998
37,831.842,505.227,755.309,523.86
38,831.831,496.052,756.165,519.014
39,831.692,487.386,756.938,514.463
40,831.465,478.718,757.756,510.361
41,830.766,471.171,757.82,506.324
42,830.082,463.705,758.55,502.749
43,829.193,456.517,759.413,499.508
44,828.13,450.532,759.669,496.44
45,826.988,444.704,760.181,493.749
46,825.682,439.747,760.324,491.15
47,824.285,435.28,760.444,489.011
48,823.028,430.326,762.367,486.905
49,821.597,427.599,761.772,485.252
50,820.164,425.468,761.472,483.913
51,818.597,425.013,759.33,483.087
52,817.271,424.225,758.73,482.416
53,816.12,422.942,759.755,481.842
54,814.885,424.249,758.198,481.874
55,813.878,424.653,758.62,481.936
56,812.731,427.466,756.316,482.759
57,811.742,429.765,755.842,483.517
58,810.952,433.105,754.583,484.576
59,810.269,436.098,754.505,485.761
60,809.379,441.046,752.416,487.366
61,808.77,445.613,751.851,489.024
62,807.799,451.227,749.941,490.984
63,806.944,456.984,748.488,493.103
64,806.108,463.247,747.645,495.304
