cuadro,s1,s2,s3,s4
0,575.961,361.423,582.974,437.901
1,579.171,369.644,583.106,441.461
2,583.878,378.562,582.458,446.083
3,589.115,387.426,581.837,450.077
4,613.426,393.133,569.803,432.608
5,620.291,396.813,574.19,437.46
6,626.92,399.809,577.669,443.878
7,634.883,401.535,583.26,449.587
8,642.799,403.507,588.666,454.589
9,650.13,405.439,594.216,458.132
10,655.676,410.023,596.93,462.184
11,661.868,415.577,597.837,460.389
12,667.104,423.886,598.423,462.645
13,671.273,436.974,600.475,466.96
14,675.802,457.99,601.292,468.803
15,680.597,476.728,602.209,472.55
16,687.96,487.055,603.343,476.523
17,698.214,500.02,610.584,479.066
18,708.946,514.783,619.215,482.685
19,719.124,528.465,625.96,488.178
20,725.432,537.22,626.145,495.248
21,731.055,547.006,627.362,503.03
22,734.538,556.546,626.327,511.096
23,738.043,567.002,625.232,520.04
24,734.563,573.752,620.908,528.186
25,728.442,580.19,615.859,536.429
26,722.271,585.522,614.079,547.495
27,711.524,590.343,610.209,557.221
28,699.104,595.095,605.447,567.527
29,669.299,605.923,592.4,565.949
30,643.652,614.695,583.271,568.778
31,622.836,621.761,575.634,573.781
32,638.822,614.35,576.602,608.654
33,603.482,626.854,553.15,592.161
34,606.716,621.398,539.816,607.136
35,604.819,621.17,527.86,604.47
36,597.207,625.117,516.976,598.968
37,519.471,626.18,516.419,560.593
38,497.114,621.69,510.784,553.401
39,482.384,618.4,504.592,548.518
40,477.287,625.132,495.972,547.115
41,463.798,629.019,488.018,544.43
42,444.226,626.172,483.027,539.683
43,424.027,617.333,480.75,534.192
44,404.337,609.72,477.423,530.307
45,385.498,597.747,474.768,526.925
46,367.601,583.303,472.05,524.452
47,360.514,561.711,472.832,521.361
48,351.677,540.988,470.283,519.814
49,353.889,519.305,470.823,517.228
50,362.099,500.653,471.813,514.3
51,372.201,483.786,472.28,511.305
52,385.569,471.459,474.066,507.847
53,400.4,465.804,478.367,503.874
54,413.685,464.57,483.464,499.978
55,426.213,461.469,488.246,496.515
56,422.728,478.534,482.43,466.762
57,425.461,475.471,487.845,469.71
58,427.786,471.425,494.468,474.143
59,426.718,466.854,495.402,479.819
60,427.874,462.286,494.53,484.23
61,429.318,459.091,490.108,489.845
62,428.923,456.969,481.985,492.242
63,432.365,477.728,497.901,472.777
64,421.72,478.052,493.991,469.484
65,409.198,478.2,489.154,466.332
66,401.683,471.322,488.104,465.659
67,381.078,474.676,479.289,462.074
68,369.4,468.833,477.114,462.365
69,359.188,461.562,474.064,463.125
70,352.843,453.019,472.462,465.273
71,348.306,444.371,470.793,468.262
72,347.51,435.868,469.3,471.725
73,352.359,429.514,468.081,475.64
74,360.263,425.805,467.317,479.825
75,369.284,423.327,466.003,483.943
76,382.393,429.27,469.81,488.341
77,394.389,435.315,471.631,492.322
78,406.488,447.284,476.878,496.07
79,417.578,464.732,485.556,498.856
80,426.477,476.311,490.886,501.213
81,420.686,506.046,480.069,483.073
82,421.63,515.88,485.839,492.724
83,423.1,524.569,491.816,503.76
84,425.0,533.502,495.021,514.678
85,430.511,542.386,498.599,527.702
86,433.809,552.775,496.75,541.331
87,458.756,576.015,495.726,521.905
88,461.33,595.67,492.076,529.317
89,462.703,618.188,487.798,539.307
90,462.904,637.809,487.795,548.362
91,462.714,657.386,489.439,558.166
92,460.703,672.896,494.229,567.541
93,458.435,680.867,501.988,575.588
94,457.822,683.688,510.89,584.48
95,460.374,679.112,520.489,593.414
96,463.284,671.46,528.171,606.233
97,471.177,658.827,537.715,609.844
98,482.773,644.289,551.883,604.428
99,492.647,628.622,568.327,607.527
100,502.382,610.89,575.582,603.344
101,550.398,573.109,592.232,621.85
102,567.144,559.512,602.155,617.544
103,582.205,554.78,612.225,612.084
104,586.624,550.574,624.311,605.818
105,592.198,542.455,634.603,598.413
106,595.889,536.353,642.964,590.63
107,601.082,535.673,653.376,584.27
108,602.717,528.776,661.543,574.063
109,601.425,527.681,670.401,548.297
110,603.566,524.306,680.109,526.85
111,603.679,519.618,690.038,516.058
112,610.699,518.03,703.111,504.859
113,620.125,516.339,716.735,494.543
114,626.299,512.617,728.819,487.121
115,628.768,507.738,738.41,483.262
116,631.522,502.844,747.247,480.804
117,632.254,497.612,752.922,480.761
118,633.631,492.58,757.209,481.884
119,632.112,487.89,755.47,484.437
120,631.266,483.549,752.737,487.266
121,629.625,479.985,747.186,489.87
122,626.879,477.269,739.403,491.573
123,625.43,474.843,731.721,493.763
124,622.095,473.674,722.393,494.762
125,616.713,473.814,711.799,493.956
126,611.496,474.629,701.184,491.822
127,605.656,476.351,691.131,489.053
128,602.963,477.521,683.246,487.907
129,602.971,478.037,679.867,479.329
130,604.505,480.948,679.762,468.823
131,604.794,481.734,679.746,466.932
132,603.822,483.401,680.262,467.726
133,603.981,490.027,680.824,470.724
134,604.295,490.044,681.517,474.607
135,603.841,488.482,682.751,479.047
